,templateID,type,name,severity,host_ano
0,web-server,http,Detect web server daemon,Info,['CGX']
1,reverse-proxy-detect,http,Reverse Proxy Detect,Info,['CGX']
2,waf-detect,http,WAF Detection,Info,['CGX']
3,waf-detect,http,WAF Detection,Info,['CGX']
4,foulenzer-tech,http,WebApp tech detection,Info,['CGX']
5,Arbitrary Text Injection,http,Arbitrary Text Injection,Low,['CGX']
6,missing-csp,http,CSP Not Enforced,Info,['CGX']
7,reverse-proxy-detect,http,Reverse Proxy Detect,Info,['FHM']
8,web-server,http,Detect web server daemon,Info,['FHM']
9,Directory Content logs,http,Search for log.txt,Medium,['RSV']
10,tech-detect,http,Wappalyzer Technology Detection,Info,['RSV']
11,tech-detect,http,Wappalyzer Technology Detection,Info,['RSV']
12,wp-detect,http,WordPress Detection,Info,['RSV']
13,reverse-proxy-detect,http,Reverse Proxy Detect,Info,['RSV']
14,web-server,http,Detect web server daemon,Info,['RSV']
15,waf-detect,http,WAF Detection,Info,['RSV']
16,waf-detect,http,WAF Detection,Info,['RSV']
17,Arbitrary Text Injection,http,Arbitrary Text Injection,Low,['RSV']
18,foulenzer-tech,http,WebApp tech detection,Info,['RSV']
19,CVE-2020-17453.yaml,http,ws02 xss carbon management console,Critical,['RSV']
20,missing-csp,http,CSP Not Enforced,Info,['RSV']
21,aphp-microblog-rce,http,ApPHP MicroBlog Remote Code Execution Vulnerability,High,['RSV']
22,missing-csp,http,CSP Not Enforced,Info,['JTU']
23,tech-detect,http,Wappalyzer Technology Detection,Info,['JTU']
24,tech-detect,http,Wappalyzer Technology Detection,Info,['JTU']
25,wp-detect,http,WordPress Detection,Info,['JTU']
26,reverse-proxy-detect,http,Reverse Proxy Detect,Info,['JTU']
27,web-server,http,Detect web server daemon,Info,['JTU']
28,foulenzer-tech,http,WebApp tech detection,Info,['JTU']
29,developer-notes,http,Developer Notes,Info,['JTU']
30,missing-csp,http,CSP Not Enforced,Info,['CJM']
31,foulenzer-tech,http,WebApp tech detection,Info,['CJM']
32,reverse-proxy-detect,http,Reverse Proxy Detect,Info,['CJM']
33,web-server,http,Detect web server daemon,Info,['CJM']
34,tech-detect,http,Wappalyzer Technology Detection,Info,['CJM']
35,tech-detect,http,Wappalyzer Technology Detection,Info,['CJM']
36,wp-detect,http,WordPress Detection,Info,['CJM']
37,CVE-2020-17453.yaml,http,ws02 xss carbon management console,Critical,['CJM']
